"word","lemma","uni_lemma","lexical_class","aoa","aoa_fit"
"a","a","a","function_words",27,26.5636716266904
"after","after","after","other",30,28.6666498673718
"airplane","airplane","airplane","nouns",20,19.7297833506535
"all","all","all","function_words",27,25.9300732980302
"alligator","alligator","alligator","nouns",25,24.8267585911622
"am","be","am","function_words",30,28.3922066030448
"and","and","and","function_words",27,26.6271234751304
"animal","animal","animal","nouns",24,23.8011674692564
"ankle","ankle","ankle","nouns",30,29.0034846352661
"another","another","another","function_words",28,27.5648207507024
"ant","ant","ant","nouns",25,24.225747222342
"any","any","any","function_words",30,28.905462547276
"apple","apple","apple","nouns",18,17.7821028575631
"applesauce","applesauce","applesauce","nouns",26,24.7577975539631
"are","be","are","function_words",30,28.8463834048658
"arm","arm","arm","nouns",21,21.4050179462946
"around","around","around","function_words",30,29.0111377811281
"asleep","asleep","asleep","adjectives",24,24.1638529113518
"at","at","at","function_words",28,27.7919786941955
"aunt","aunt","aunt","other",25,25.1724046136056
"awake","awake","awake","adjectives",26,25.452119496666
"away","away","away","function_words",28,26.4395989187296
"baby","baby","baby","other",16,16
"back","back","back (location)","function_words",26,25.6171537518058
"backyard","backyard","yard","nouns",28,26.2913344388393
"bad","bad","bad","adjectives",24,24.427696398241
"ball","ball","ball","nouns",16,16
"balloon","balloon","balloon","nouns",18,16.8372411365804
"banana","banana","banana","nouns",16,16
"basket","basket","basket","nouns",25,24.7839401921993
"bat","bat","bat","nouns",26,25.2841238842065
"bath","bath","bath","other",18,17.6561663648016
"bathroom","bathroom","bathroom","nouns",23,23.0113076460743
"bathtub","bathtub","bathtub","nouns",22,21.6196880956665
"beach","beach","beach","other",26,26.1241715442962
"beads","bead","beads","nouns",30,28.760877911104
"beans","bean","beans","nouns",24,24.0624127908427
"bear","bear","bear","nouns",18,18.5927391292649
"bed","bed","bed","nouns",20,20.2208143189436
"bedroom","bedroom","bedroom","nouns",25,24.7136280937166
"bee","bee","bee","nouns",22,20.5978715047026
"behind","behind","behind","function_words",30,28.3154941090213
"belt","belt","belt","nouns",26,25.4802290636248
"better","better","better","adjectives",26,26.4190726818314
"bib","bib","bib","nouns",23,23.1436971296453
"bicycle","bicycle","bicycle","nouns",21,21.1853671221404
"big","big","big","adjectives",22,21.9556631734823
"bird","bird","bird","nouns",18,16.5159566402734
"bite","bite","bite","verbs",22,21.6083884504432
"black","black","black","adjectives",26,25.4553062946031
"blanket","blanket","blanket","nouns",20,20.0107719830462
"block","block","block","nouns",22,20.9816920765498
"blow","blow","blow","verbs",24,23.4568894916309
"blue","blue","blue","adjectives",22,22.4171957979967
"boat","boat","boat","nouns",20,20.1795506317526
"book","book","book","nouns",16,16
"boots","boot","boots","nouns",22,22.0418508875797
"bottle","bottle","bottle","nouns",19,18.2488874232883
"bowl","bowl","bowl","nouns",23,22.1147367677003
"box","box","box","nouns",22,21.752231203523
"boy","boy","boy","other",23,22.7424872687129
"bread","bread","bread","nouns",22,21.1716513714568
"break","break","break","verbs",25,24.1943043292431
"breakfast","breakfast","breakfast","other",24,23.6457144976501
"bring","bring","bring","verbs",26,26.141153448925
"broken","break","broken","adjectives",23,22.9675415684968
"broom","broom","broom","nouns",23,23.2708207223811
"brother","brother","brother","other",26,26.652463453455
"brown","brown","brown","adjectives",28,26.2699679804821
"brush","brush","brush (object)","nouns",22,21.4347173761516
"bubbles","bubble","bubbles","nouns",18,17.7529452444061
"bucket","bucket","bucket","nouns",26,25.4326708289321
"bug","bug","bug","nouns",21,20.9476623861146
"build","build","build","verbs",27,26.5186306336207
"bump","bump","bump","verbs",26,25.3596744348987
"bunny","bunny","bunny","nouns",20,20.0477884180379
"bus","bus","bus","nouns",21,20.4402712191675
"butter","butter","butter","nouns",24,23.9132148568434
"butterfly","butterfly","butterfly","nouns",23,22.5359372439934
"button","button","button","nouns",22,21.7891701261292
"buy","buy","buy","verbs",28,26.7406401327468
"by","by","by","function_words",28,28.3388159548503
"bye","bye","bye","other",16,16
"cake","cake","cake","nouns",22,21.6234462484079
"camera","camera","camera","nouns",25,24.9106280993899
"candy","candy","candy","nouns",23,22.0212839688041
"car","car","car","nouns",18,16.9336238438948
"careful","careful","careful","adjectives",26,25.5229836600952
"carrots","carrot","carrots","nouns",24,23.2568251708554
"carry","carry","carry","verbs",25,24.8694535207079
"cat","cat","cat","nouns",18,17.2652846797886
"catch","catch","catch","verbs",25,24.8509991998832
"cereal","cereal","cereal","nouns",22,21.5491096863499
"chair","chair","chair","nouns",21,20.3192819145459
"chalk","chalk","chalk","nouns",28,26.5871597508557
"chase","chase","chase","verbs",28,27.3469498650246
"cheek","cheek","cheek","nouns",22,22.8481988258293
"cheerios","cheerio","cheerios","nouns",23,23.015649116629
"cheese","cheese","cheese","nouns",18,17.6610828842705
"chin","chin","chin","nouns",24,23.3654607980509
"chocolate","chocolate","chocolate","nouns",24,24.4025988147647
"church","church","church","other",26,26.5177301845346
"clap","clap","clap","verbs",23,23.1668555998143
"climb","climb","climb","verbs",25,25.0692634374654
"clock","clock","clock","nouns",23,22.3559457360064
"close","close","close","verbs",24,23.8629546757305
"closet","closet","closet","nouns",26,25.4995796074772
"cloud","cloud","cloud","nouns",26,24.8506678141546
"clown","clown","clown","other",28,26.499188778864
"coat","coat","coat","nouns",22,22.1615920267334
"cockadoodledoo","cockadoodledoo","cockadoodledoo","other",24,24.505688388502
"coffee","coffee","coffee","nouns",24,24.3609704720157
"coke","coke","coke","nouns",28,27.9402421481452
"cold","cold","cold","adjectives",21,20.623205346435
"comb","comb","comb (object)","nouns",25,24.353306020734
"cook","cook","cook","verbs",24,24.5620418903404
"cookie","cookie","cookie","nouns",18,17.5890207207168
"corn","corn","corn","nouns",24,23.4559742907781
"couch","couch","couch","nouns",24,23.8727284206039
"cover","cover","cover (action)","verbs",28,27.1973295599009
"cow","cow","cow","nouns",19,19.4547474534185
"cracker","cracker","cracker","nouns",19,18.6081115602569
"crayon","crayon","crayon","nouns",22,22.5341914121832
"crib","crib","crib","nouns",26,25.0951675451386
"cry","cry","cry","verbs",23,22.7518345032392
"cup","cup","cup","nouns",19,19.0589599730181
"cut","cut","cut","verbs",26,25.8174658672236
"cute","cute","cute","adjectives",28,26.6098940883083
"daddy","daddy","daddy","other",16,16
"dance","dance","dance","verbs",22,22.8829281113913
"dark","dark","dark","adjectives",25,25.2402264798933
"day","day","day","other",28,27.8318542774186
"deer","deer","deer","nouns",27,25.8070549987213
"diaper","diaper","diaper","nouns",19,18.8869569694646
"dinner","dinner","dinner","other",24,23.8847915033926
"dirty","dirty","dirty","adjectives",22,21.7760785578441
"dish","dish","dish","nouns",27,26.3997307354777
"do","do","do","function_words",25,24.16663043216
"doctor","doctor","doctor","other",24,24.1573770400283
"dog","dog","dog","nouns",16,16
"doll","doll","doll","nouns",22,21.513417509506
"donkey","donkey","donkey","nouns",28,27.8157316061582
"dont","do","don't","function_words",26,25.3795558326674
"donut","donut","donut","nouns",26,25.907069893214
"door","door","door","nouns",20,19.6688227096734
"down","down","down","function_words",19,19.2035773975815
"draw","draw","draw","verbs",25,24.9101795297671
"drawer","drawer","drawer","nouns",27,26.7447260752511
"drive","drive","drive","verbs",25,24.3793231246261
"drop","drop","drop","verbs",26,25.3085618021444
"dryer","dry","dryer","nouns",28,27.2270428575096
"duck","duck","duck","nouns",17,16.4431825793889
"dump","dump","dump","verbs",30,28.835384448375
"ear","ear","ear","nouns",18,17.662302527058
"eat","eat","eat","verbs",19,19.7025341870788
"egg","egg","egg","nouns",22,21.5723862190583
"elephant","elephant","elephant","nouns",22,22.1587790755504
"empty","empty","empty","adjectives",27,25.9058617827617
"eye","eye","eye","nouns",18,16.6683351623409
"face","face","face","nouns",23,23.1949857497168
"fall","fall","fall","verbs",23,22.8603188902811
"farm","farm","farm","other",28,27.3205294505131
"fast","fast","fast","adjectives",25,25.2056547090252
"feed","fee","feed","verbs",26,26.0580173359119
"find","find","find","verbs",25,25.0085080951022
"fine","fine","fine","adjectives",30,29.5267349560562
"finger","finger","finger","nouns",21,21.3213869889651
"finish","finish","finish","verbs",28,27.3917857310587
"fireman","fireman","firefighter","other",28,27.1810027477893
"firetruck","firetruck","firetruck","nouns",24,23.7235572276781
"first","<U+FEFF>1","first","adjectives",28,27.6077719852464
"fit","fit","fit","verbs",28,27.9490662871232
"fix","fix","fix","verbs",25,24.4257553020323
"flag","flag","flag","nouns",26,25.7442792882346
"flower","flower","flower","nouns",19,19.9907304487499
"food","food","food","nouns",23,22.9279350891673
"foot","foot","foot","nouns",22,20.4800607574784
"for","for","for","function_words",28,27.9556896387708
"fork","fork","fork","nouns",22,21.4981775239962
"friend","friend","friend","other",28,26.1080279332485
"frog","frog","frog","nouns",22,21.5566507821532
"full","full","full","adjectives",27,26.3644162242897
"game","game","game","nouns",27,25.5185244617384
"garage","garage","garage","nouns",26,25.9556438598404
"garbage","garbage","garbage","nouns",26,25.6691055593603
"garden","garden","garden","nouns",28,28.0792706847901
"gentle","gentle","gentle","adjectives",28,27.5654152044462
"get","get","get","verbs",23,23.4181313334218
"giraffe","giraffe","giraffe","nouns",24,23.6957077567757
"girl","girl","girl","other",23,23.4519323926438
"give","give","give","verbs",26,25.131671494273
"glass","glass","glass","nouns",26,24.9806156144341
"glasses","glass","glasses","nouns",23,22.7699790677063
"gloves","glove","gloves","nouns",28,26.6335009121333
"glue","glue","glue","nouns",28,28.3694479384756
"go","go","go","verbs",19,19.0338645234154
"good","good","good","adjectives",24,23.323440668344
"goose","goose","goose","nouns",28,26.7243217447873
"grandma","grandma","grandma","other",18,17.192937902969
"grandpa","grandpa","grandpa","other",18,18.2044363713923
"grapes","grape","grapes","nouns",22,21.5800613163704
"grass","grass","grass","nouns",23,22.9171661025642
"green","green","green","adjectives",24,23.8715224370523
"grrr","grrr","grrr","other",16,16
"gum","gum","gum","nouns",26,26.3622317825136
"hair","hair","hair","nouns",19,19.2398556573684
"hamburger","hamburger","hamburger","nouns",25,24.3367201521837
"hammer","hammer","hammer","nouns",26,25.2456853587551
"hand","hand","hand","nouns",21,20.7415025838214
"happy","happy","happy","adjectives",24,23.6577712086151
"hard","hard","hard","adjectives",28,27.01853805762
"hat","hat","hat","nouns",18,18.0337660638855
"have","have","have","verbs",26,25.3695779387605
"he","he","he","function_words",28,27.3545940392163
"head","head","head","nouns",21,21.0624711226908
"hear","hear","hear","verbs",27,26.1548926803899
"heavy","heavy","heavy","adjectives",25,24.3545482033997
"helicopter","helicopter","helicopter","nouns",25,24.4057826689171
"hello","hello","hello","other",18,18.2973834049975
"help","help","help","verbs",22,22.2271864838979
"her","her","her","function_words",30,28.7856879013032
"here","here","here","function_words",25,24.428893453044
"hi","hello","hi","other",16,16
"hide","hide","hide","verbs",25,24.7960092278946
"high","high","high","adjectives",27,25.8665278017293
"him","him","him","function_words",30,29.0689752787184
"hit","hit","hit","verbs",24,23.9141721820399
"hold","hold","hold","verbs",25,24.5079968958363
"home","home","home","other",22,21.1805240248833
"horse","horse","horse","nouns",21,19.9963120007652
"hose","hose","hose","nouns",27,26.5079442507739
"hot","hot","hot","adjectives",18,17.0720608531422
"house","house","house","other",22,22.2215993815103
"how","how","how","function_words",30,29.1163326139054
"hug","hug","hug","verbs",22,21.3320622323195
"hungry","hungry","hungry","adjectives",24,23.7236583366167
"hurry","hurry","hurry","verbs",28,26.5935649756281
"hurt","hurt","hurt (description)","adjectives",24,23.9611418814607
"i","i","i","function_words",24,23.4366452188084
"ice","ice","ice","nouns",22,22.2357680022699
"is","be","is","function_words",28,27.4955674169244
"it","it","it","function_words",27,25.5135935751206
"jacket","jacket","jacket","nouns",23,23.2841716621692
"jar","jar","jar","nouns",29,28.0822181968276
"jeans","jeans","jeans","nouns",28,27.0112446661416
"jello","jello","jello","nouns",28,27.4018048577071
"jelly","jelly","jelly","nouns",27,25.8424267303852
"juice","juice","juice","nouns",18,17.1798208129659
"jump","jump","jump","verbs",22,22.5218069759044
"keys","key","keys","nouns",24,20.6604722916459
"kick","kick","kick","verbs",24,23.8760704610907
"kiss","kiss","kiss","verbs",21,20.7649581505099
"kitchen","kitchen","kitchen","nouns",23,23.4270150893046
"kitty","kitty","kitty","nouns",18,17.0924389881557
"knee","knee","knee","nouns",22,22.116754904935
"knife","knife","knife","nouns",25,24.5758044035847
"knock","knock","knock","verbs",25,25.0716116415963
"ladder","ladder","ladder","nouns",27,26.6229295280069
"lady","lady","lady","other",28,27.2019489483699
"lamb","lamb","lamb","nouns",26,26.3538661497799
"lamp","lamp","lamp","nouns",28,27.1926724386001
"later","late","later","other",28,27.0082060440881
"leg","leg","leg","nouns",22,22.456914354661
"lick","lick","lick","verbs",27,26.7997685145359
"light","light","light (object)","nouns",20,19.8950220812064
"like","like","like (action)","verbs",26,25.2268798150891
"lion","lion","lion","nouns",23,22.4257528770399
"lips","lip","lips","nouns",25,24.7170673802319
"listen","listen","listen","verbs",28,27.2658271804822
"lollipop","lollipop","lollipop","nouns",28,26.7161466715048
"long","long","long","adjectives",30,28.8640687506771
"look","look","look","verbs",24,23.3350105925369
"loud","loud","loud","adjectives",26,25.8249718755022
"love","love","love","verbs",23,22.4654238163032
"lunch","lunch","lunch","other",24,23.8394237540452
"mad","mad","mad","adjectives",28,27.4414775120497
"mailman","mailman","mailman","other",28,27.8355787171212
"make","make","make","verbs",26,25.988867215943
"man","man","man","other",26,24.7925876657115
"me","me","me","function_words",22,21.5418220290786
"meat","meat","meat","nouns",26,25.3524893259248
"medicine","medicine","medicine","nouns",24,23.7116414185372
"melon","melon","melon","nouns",28,27.3854008410536
"meow","meow","meow","other",16,16
"milk","milk","milk","nouns",18,17.6397755993137
"mine","mine","mine","function_words",19,19.5778155692692
"mittens","mitten","mittens","nouns",28,27.1969804418629
"mommy","mommy","mommy","other",16,16
"money","money","money","nouns",23,22.8510089159948
"monkey","monkey","monkey","nouns",22,20.9592227656035
"moo","moo","moo","other",16,16
"moon","moon","moon","nouns",21,20.2970507305809
"moose","moose","moose","nouns",28,28.6592585086934
"mop","mop","mop","nouns",28,28.4539894189405
"more","more","more","function_words",19,19.4454325044219
"morning","morning","morning","other",28,26.1817823636003
"motorcycle","motorcycle","motorcycle","nouns",25,24.7140718936559
"mouse","mouse","mouse","nouns",22,22.5080809013491
"mouth","mouth","mouth","nouns",19,19.7388574721105
"movie","movie","movie","other",28,26.4190277759272
"muffin","muffin","muffin","nouns",27,25.601054840078
"my","my","my","function_words",24,24.1440168819726
"nail","nail","nail (object)","nouns",28,27.4061578592268
"nap","nap","nap","other",22,22.1160276583988
"napkin","napkin","napkin","nouns",24,24.1625338611952
"necklace","necklace","necklace","nouns",26,25.0626542990978
"new","new","new","adjectives",28,27.3633945508535
"nice","nice","nice","adjectives",25,24.755594871545
"night","night","night","other",24,23.9867271274578
"no","no","no","other",16,16
"noisy","noisy","noisy","adjectives",28,27.5955833931153
"noodles","noodle","pasta","nouns",24,23.4320697271562
"nose","nose","nose","nouns",18,16.7460238329632
"not","not","not","function_words",28,27.0437886100395
"now","now","now","other",25,25.0060410107401
"nuts","nut","nuts","nouns",28,26.6712235972143
"off","off","off","function_words",22,21.0434954435195
"old","old","old","adjectives",30,28.5799843055583
"on","on","on","function_words",22,21.2836844221334
"open","open","open (action)","verbs",22,21.3549859594157
"other","other","other","function_words",28,28.137140898742
"ouch","ouch","ouch","other",18,16.8827890359542
"out","out","out","function_words",22,21.5323467193765
"outside","outside","outside","other",19,19.5172749398066
"oven","oven","oven","nouns",27,26.1326125280178
"over","over","over","function_words",28,26.6035729658991
"owl","owl","owl","nouns",22,23.1503086025405
"paint","paint","paint (action)","verbs",27,25.6155579262271
"pajamas","pajama","pajamas","nouns",23,22.7582144769736
"pancake","pancake","pancake","nouns",23,23.7673280638736
"pants","pant","pants","nouns",22,21.739383020342
"paper","paper","paper","nouns",22,22.1757429002749
"park","park","park","other",22,22.6057555553259
"party","party","party","other",26,25.3724583401457
"pattycake","pattycake","pattycake","other",26,24.8827090068249
"peas","pea","peas","nouns",24,24.0829841387245
"peekaboo","peekaboo","peekaboo","other",19,18.6207073793375
"pen","pen","pen","nouns",23,23.287472354606
"pencil","pencil","pencil","nouns",25,24.6325301317356
"penguin","penguin","penguin","nouns",28,26.224608457646
"penis","penis","penis","nouns",27,26.3495602299086
"penny","penny","penny","nouns",26,26.1060647204843
"people","people","people","other",27,26.4455488131502
"pick","pick","pick","verbs",28,27.4545533613842
"pickle","pickle","pickle","nouns",26,25.570607041064
"picnic","picnic","picnic","other",28,27.8877213415216
"picture","picture","picture","nouns",24,23.5148418817146
